ApplNo,ProductNo,Form,Strength,ReferenceDrug,DrugName,ActiveIngredient,ReferenceStandard
4056,4,INJECTABLE;INJECTION,0.5MG/ML,0,STILBESTROL,DIETHYLSTILBESTROL,0
4056,5,INJECTABLE;INJECTION,1MG/ML,0,STILBESTROL,DIETHYLSTILBESTROL,0
4056,6,INJECTABLE;INJECTION,5MG/ML,0,STILBESTROL,DIETHYLSTILBESTROL,0
4056,7,TABLET;ORAL,0.1MG,0,STILBETIN,DIETHYLSTILBESTROL,0
4056,8,TABLET;ORAL,0.5MG,0,STILBETIN,DIETHYLSTILBESTROL,0
4056,9,TABLET;ORAL,1MG,0,STILBETIN,DIETHYLSTILBESTROL,0
4056,10,TABLET;ORAL,5MG,0,STILBETIN,DIETHYLSTILBESTROL,0
4056,11,"TABLET, DELAYED RELEASE;ORAL",0.1MG,0,STILBETIN,DIETHYLSTILBESTROL,0
4056,12,"TABLET, DELAYED RELEASE;ORAL",0.5MG,0,STILBETIN,DIETHYLSTILBESTROL,0
4056,13,"TABLET, DELAYED RELEASE;ORAL",1MG,0,STILBETIN,DIETHYLSTILBESTROL,0
4056,14,"TABLET, DELAYED RELEASE;ORAL",5MG,0,STILBETIN,DIETHYLSTILBESTROL,0
4056,17,TABLET;ORAL,0.25MG,0,STILBETIN,DIETHYLSTILBESTROL,0
4122,2,TABLET;ORAL,500MG,1,SULFADIAZINE,SULFADIAZINE,0
4125,5,TABLET;ORAL,300MG,0,SULFADIAZINE,SULFADIAZINE,0
4570,1,INJECTABLE;INJECTION,"1,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0
4570,2,INJECTABLE;INJECTION,"5,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0
4570,3,INJECTABLE;INJECTION,"10,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0
4589,4,INJECTABLE;INJECTION,5ML/100ML;5GM/100ML,0,ALCOHOL 5% AND DEXTROSE 5%,ALCOHOL; DEXTROSE,0
4589,6,INJECTABLE;INJECTION,10ML/100ML;5GM/100ML,0,ALCOHOL 10% AND DEXTROSE 5%,ALCOHOL; DEXTROSE,0
4782,1,TABLET;ORAL,1.25MG,1,PREMARIN,"ESTROGENS, CONJUGATED",1
4782,2,TABLET;ORAL,2.5MG,0,PREMARIN,"ESTROGENS, CONJUGATED",0
4782,3,TABLET;ORAL,0.3MG,1,PREMARIN,"ESTROGENS, CONJUGATED",0
4782,4,TABLET;ORAL,0.625MG,1,PREMARIN,"ESTROGENS, CONJUGATED",1
4782,5,TABLET;ORAL,0.9MG,1,PREMARIN,"ESTROGENS, CONJUGATED",1
4782,6,TABLET;ORAL,0.45MG,1,PREMARIN,"ESTROGENS, CONJUGATED",0
5010,1,TABLET;ORAL,50MG,1,DEMEROL,MEPERIDINE HYDROCHLORIDE,1
5010,2,INJECTABLE;INJECTION,50MG/ML,0,DEMEROL,MEPERIDINE HYDROCHLORIDE,0
5010,3,INJECTABLE;INJECTION,100MG/ML,0,DEMEROL,MEPERIDINE HYDROCHLORIDE,0
5010,4,TABLET;ORAL,100MG,1,DEMEROL,MEPERIDINE HYDROCHLORIDE,1
5010,5,SYRUP;ORAL,50MG/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,0,DEMEROL,MEPERIDINE HYDROCHLORIDE,0
5010,7,INJECTABLE;INJECTION,25MG/ML,0,DEMEROL,MEPERIDINE HYDROCHLORIDE,0
5010,9,INJECTABLE;INJECTION,75MG/ML,0,DEMEROL,MEPERIDINE HYDROCHLORIDE,0
5151,1,PELLET;IMPLANTATION,125MG,0,PERCORTEN,DESOXYCORTICOSTERONE ACETATE,0
5213,1,TABLET;ORAL,1.5MG;5MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,1,HYCODAN,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE,0
