NCT Number,Title,Status,Study Results,Interventions,Gender,Age,URL
NCT02872259,BGB324 in Combination With Pembrolizumab or Dabrafenib/Trametinib in Metastatic Melanoma,Recruiting,No Results Available,Drug: BGB324+pembrolizumab|Drug: BGB324+dabrafenib and trametinib|Drug: pembrolizumab|Drug: dabrafenib and trametinib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02872259
NCT01752257,EF5 in Melanoma Patients,Completed,No Results Available,Drug: EF5 Hypoxia,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01752257
NCT02671513,A Tolerability and Pharmacokinetics Study of SHR6390 in Advanced Melanoma Patients,Unknown status,No Results Available,Drug: SHR6390,All,"18 Years to 65 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02671513
NCT02159066,"LGX818 and MEK162 in Combination With a Third Agent (BKM120, LEE011, BGJ398 or INC280) in Advanced BRAF Melanoma","Active, not recruiting",No Results Available,Drug: LGX818|Drug: MEK162|Drug: LEE011|Drug: BGJ398|Drug: BKM120|Drug: INC280,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02159066
NCT02854124,Tracing Dissemination of Melanoma Cells in Healthy Tissues,Recruiting,No Results Available,Procedure: Melanoma and peritumoral skin excision,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02854124
NCT03149029,Abbreviated MAPK Targeted Therapy Plus Pembrolizumab in Melanoma,Recruiting,No Results Available,Drug: Pembrolizumab|Drug: Dabrafenib|Drug: Trametinib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03149029
NCT02143050,"Study of Dabrafenib, Trametinib and Metformin for Melanoma Patients",Recruiting,No Results Available,Drug: Dabrafenib|Drug: Trametinib|Drug: Metformin,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02143050
NCT02112032,Treatment of Advanced Melanoma With MK-3475 and Peginterferon,"Active, not recruiting",No Results Available,Drug: MK-3475|Drug: Peginterferon alfa-2b,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02112032
NCT02501551,"Regorafenib, C-kit Mutated Malignant Melanoma, 2nd Line Therapy",Recruiting,No Results Available,Drug: regorafenib,All,"19 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02501551
NCT02619058,A Clinical Trial of Adoptive Transfer With Autologous NKT Cells in Metastatic Melanoma Patients,Unknown status,No Results Available,Biological: NKT cells,All,"18 Years to 70 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02619058
NCT03138642,Mucosal Melanoma of Head and Neck in Intensity-modulated Radiotherapy Era,Recruiting,No Results Available,Radiation: RT,All,"18 Years to 75 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03138642
NCT01638676,A Phase I/II Trial of Vemurafenib and Metformin to Melanoma Patients,Recruiting,No Results Available,Drug: Vemurafenib|Drug: Metformin,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01638676
NCT03520634,PD-L1 PET Imaging in Melanoma Patients,Recruiting,No Results Available,Other: PD-L1 PET imaging,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03520634
NCT03034395,Study of 1cm Versus 2cm Margins for the Surgical Treatment of cT2N0M0 Melanoma,Recruiting,No Results Available,Procedure: Wide Local Excision,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03034395
NCT02799901,Nivolumab Plus Radiotherapy in Advanced Melanoma,Recruiting,No Results Available,Biological: Nivolumab|Radiation: hypofractionned radiotherapy,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02799901
NCT01782508,A Phase II Study of Imatinib Versus Interferon as Adjuvant Therapy in KIT-mutated Melanoma,Unknown status,No Results Available,Drug: imatinib|Drug: Interferon,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01782508
NCT01702896,Interleukin-2 in Metastatic Melanoma,Terminated,Has Results,Drug: Interleukin-2,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01702896
NCT01970358,A Phase I Study With a Personalized NeoAntigen Cancer Vaccine in Melanoma,"Active, not recruiting",No Results Available,Biological: Poly-ICLC|Biological: Peptides,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01970358
NCT02120222,Evaluating SINE KPT-330 in Treating Patients With Melanoma That Cannot Be Removed By Surgery,Recruiting,No Results Available,Drug: selinexor|Other: Correlative studies,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02120222
NCT03159117,Pfizer PF-06688992 in Patients With Stage III or Stage IV Melanoma,Recruiting,No Results Available,Drug: PF-06688992,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03159117
NCT02875652,Circulating Tumoral DNA in Choroidal Melanoma (ctDNA MU),"Active, not recruiting",No Results Available,Biological: Blood sampling,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02875652
NCT02071940,PLX3397 KIT in Acral aNd mucOsal Melanoma,Recruiting,No Results Available,Drug: PLX3397,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02071940
NCT01123304,Safety Study of Human IgM (MORAb-028) to Treat Metastatic Melanoma,Terminated,No Results Available,Drug: MORAb028,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01123304
NCT01740297,Ipilimumab With or Without Talimogene Laherparepvec in Unresected Melanoma,"Active, not recruiting",Has Results,Drug: Talimogene laherparepvec|Drug: Ipilimumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01740297
NCT02645149,Molecular Profiling and Matched Targeted Therapy for Patients With Metastatic Melanoma,Not yet recruiting,No Results Available,Drug: Standard therapy or clinical trial|Drug: Matched targeted therapy|Drug: Trametinib and / or supportive care,All,"18 Years to 100 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02645149
NCT03417739,A Phase II Study of BVD-523 in Metastatic Uveal Melanoma,Recruiting,No Results Available,Drug: BVD-523,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03417739
NCT02975700,A Study of PLX3397 in Patients With Unresectable or Metastatic KIT-mutated Melanoma,"Active, not recruiting",No Results Available,Drug: PLX3397,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02975700
NCT01692691,Dacarbazine and Carmustine in Metastatic Melanoma,Terminated,Has Results,Drug: Dacarbazine|Drug: Carmustine|Drug: Neulasta,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01692691
NCT02141542,Phase I Clinical Trial of Tremelimumab Plus MEDI3617 in Patients With Unresectable Stage III or Stage IV Melanoma,"Active, not recruiting",No Results Available,Drug: Tremelimumab|Drug: MEDI3617,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02141542
NCT01604889,"A Phase 1/2 Randomized, Blinded, Placebo Controlled Study of Ipilimumab in Combination With INCB024360 or Placebo in Subjects With Unresectable or Metastatic Melanoma",Terminated,No Results Available,Drug: INCB024360|Drug: Placebo|Drug: ipilimumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01604889
NCT03348891,TNF in Melanoma Patients Treated With Immunotherapy,Recruiting,No Results Available,Other: Tumor biopsy specimens and blood samples,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03348891
NCT01127594,Evaluate Safety/Tolerability Intra-Arterial Temozolomide in Patients w/Extremity Melanoma by Isolated Limb Infusion,Completed,No Results Available,Drug: Temozolomide,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01127594
NCT01672450,A Study of Intratumoral Injection of Interleukin-2 and Ipilimumab in Patients With Unresectable Stages III-IV Melanoma,Completed,No Results Available,Drug: Intratumoral Ipilimumab and Interleukin-2,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01672450
NCT01996202,A Pilot Study of Ipilumimab and Radiation in Poor Prognosis Melanoma,"Active, not recruiting",No Results Available,Drug: Ipilumimab|Radiation: Radiation,All,"18 Years to 100 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01996202
NCT03464604,Melanoma Accuracy Study; Phase 2,Not yet recruiting,No Results Available,Diagnostic Test: active,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03464604
NCT03033485,18F‐Labeled Picolinamide PET Imaging of Melanoma Diagnosis,Unknown status,No Results Available,Radiation: 18F-P3BZA,All,"18 Years to 70 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03033485
NCT02870244,Adoptive T Cell Immunotherapy for Advanced Melanoma Using Engineered Lymphocytes,Recruiting,No Results Available,Biological: Escalating Doses,All,"18 Years to 89 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02870244
NCT02074605,Cognitive Effects of Interferon in Patients With Melanoma,Completed,No Results Available,Biological: Interferon alpha,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02074605
NCT01859845,Melanoma Simulation Model With Smartphone Devices: Training Physicians for Early Detection of Melanoma,Completed,No Results Available,Other: Smartphone,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01859845
NCT02902029,Evaluating the Efficacy and Safety of a Sequencing Schedule of Cobimetinib Plus Vemurafenib Followed by Immunotherapy With an Anti- PD-L1 Antibody in Patients With Unresectable or Metastatic BRAF V600 Mutant Melanoma,Recruiting,No Results Available,Drug: Vemurafenib|Drug: Cobimetinib|Drug: Atezolizumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02902029
NCT00961376,Vaccination of Melanoma Patients With Total or CD25-depleted Peripheral Blood Mononuclear Cell (PBMC),Terminated,No Results Available,Biological: PBMC re-infusion|Biological: CD25 depletion,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00961376
NCT01636882,CAVATAK in Patients With Stage IIIc or IV Malignant Melanoma to Extend Dosing to 48 Weeks (VLA-008 CALM Ext),Completed,Has Results,Biological: CVA21,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01636882
NCT01764009,Safety and Efficacy of Intramuscular Electrotransfer of Plasmid AMEP in Patients Suffering From Advanced or Metastatic Melanoma,Withdrawn,No Results Available,Biological: naked DNA coding for protein AMEP,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01764009
NCT02962947,MELABLOCK: A Clinical Trial on the Efficacy and Safety of Propranolol 80 mg in Melanoma Patients,Not yet recruiting,No Results Available,Drug: Propranolol|Drug: Placebo,All,"18 Years to 75 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02962947
NCT01878396,Circulating Melanoma Cells in Metastatic Patients Treated With Selective BRAF Inhibitors,Unknown status,No Results Available,Drug: Anti-B-RAF,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01878396
NCT01941927,Trametinib With GSK2141795 in BRAF Wild-type Melanoma,Unknown status,No Results Available,Drug: Trametinib (GSK1120212)|Drug: GSK2141795,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01941927
NCT01462773,"Study of Patients With Stage IV Malignant Melanoma Using PS-341 (Bortezomib, Velcade) and Interferon-alpha-2b in Malignant Melanoma",Completed,Has Results,Drug: Bortezomib|Drug: Interferon Alfa-2b,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01462773
NCT00846833,Haploidentical NK Cell Infusion in Malignant Melanoma,Completed,No Results Available,Biological: Haploidentical NK cell,All,"18 Years to 75 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00846833
NCT03022565,Vorinostat in Patients With Class 2 High Risk Uveal Melanoma,Recruiting,No Results Available,Drug: Vorinostat,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03022565
NCT02489266,In Vivo Persistence of Adoptively-Transferred TIL Cultured With Akti in People With Metastatic Melanoma,Withdrawn,No Results Available,Biological: AKTi-treated TIL|Drug: Cyclophosphamide|Drug: Fludarabine|Drug: Aldesleukin,All,"18 Years to 70 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02489266
NCT02392871,Radiotherapy & Combi in Metastatic Melanoma,Recruiting,No Results Available,Radiation: Palliative radiotherapy|Drug: Dabrafenib and trametinib (combination),All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02392871
NCT01620749,Of 18F MEL050 Using PET/CT in Metastatic Melanoma,Unknown status,No Results Available,Radiation: 18F MEL050,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01620749
NCT03422445,A Study of Apatinib Combined With Temozolomide in Patients Witn Advanced Melanoma,Recruiting,No Results Available,Drug: Apatinib|Drug: Temozolomide,All,"18 Years to 70 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03422445
NCT00482105,Early Diagnosis of Melanoma Using Expression Profiling and Non-Invasive Sampling of Skin Cells,Terminated,No Results Available,Other: EGIR Tape,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00482105
NCT01397708,Safety Study of Adenovirus Vector Engineered to Express hIL-12 in Combination With Activator Ligand to Treat Melanoma,Completed,No Results Available,Biological: INXN-2001|Drug: INXN-1001,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01397708
NCT02452281,Pilot Study to Evaluate the Effects of a Vaccine (HSPPC-96) Combined With Ipilimumab in Patients With Advanced Melanoma,Withdrawn,No Results Available,Drug: ipilimumab|Drug: HSPPC-96,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02452281
NCT02891616,18F-FLT PET Imaging in Patients With Advanced Melanoma,Recruiting,No Results Available,Drug: fludeoxyglucose F 18|Device: Positron emission tomography-computed tomography|Drug: 18F-fluorothymidine|Device: Positron emission tomography-magnetic resonance imaging,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02891616
NCT01933061,Study to Determine Efficacy and Safety of CC-486 With Nab-Paclitaxel Versus Nab-Paclitaxel in Patients With Chemotherapy naïve Metastatic Melanoma,Withdrawn,No Results Available,Drug: Abraxane,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01933061
NCT01614301,"Phase I and Consecutive Phase II, Two-arm, Randomized Multi-center Trial in Patients With Advanced Melanoma",Unknown status,No Results Available,"Drug: dacarbazine (DTIC), Trofosfamide, Etoricoxib, Pioglitazone, Temsirolimus",All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01614301
NCT02654821,Study With T-cel Receptor Gene Therapy in Metastatic Melanoma,"Active, not recruiting",No Results Available,Biological: TCR transduced T-cells|Procedure: Biopsy|Procedure: Blood taking,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02654821
NCT01045915,Safety and Efficacy Study of Electrotransfer of Plasmid AMEP to Treat Advanced or Metastatic Melanoma,Terminated,No Results Available,Biological: naked DNA coding for protein AMEP,All,"18 Years to 75 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01045915
NCT01622933,Multiple Antigen-Engineered DC Vaccine for Melanoma,Completed,No Results Available,Biological: DC Vaccine + IFN|Biological: AdVTMM2/DC Vaccination,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01622933
NCT03754179,Dabrafenib/Trametinib/Hydroxychloroquine for Advanced Pretreated BRAF V600 Mutant Melanoma,Recruiting,No Results Available,Drug: Dabrafenib|Drug: Trametinib|Drug: Hydroxychloroquine,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03754179
NCT01052142,Safety Study of a Liposomal Vaccine to Treat Malignant Melanoma,Completed,No Results Available,Biological: Lipovaxin-MM,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01052142
NCT01813214,The Effects of Vemurafenib + Cobimetinib on Immunity in Patients With Melanoma,Terminated,Has Results,Drug: Vemurafenib|Drug: Cobimetinib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01813214
NCT03448666,ECT-Pembrolizumab in Patients With Unresectable Melanoma With Superficial or Superficial and Visceral Metastases,Not yet recruiting,No Results Available,Combination Product: Pembrolizumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03448666
NCT02482532,"Vaccine Enriched, Autologous, Activated T-Cells Directed to Tumor in Patients With Relapsed/Refractory Melanoma",Recruiting,No Results Available,Biological: tvs-CTL Vaccine,All,"18 Years to 66 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02482532
NCT03484923,Study of Efficacy and Safety of Novel Spartalizumab Combinations in Patients With Previously Treated Unresectable or Metastatic Melanoma,Recruiting,No Results Available,Drug: Spartalizumab|Drug: LAG525|Drug: Capmatinib|Drug: Canakinumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03484923
NCT02434354,A Tissue Collection Study of Pembrolizumab (MK-3475) in Subjects With Resectable Advanced Melanoma,Recruiting,No Results Available,Drug: pembrolizumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02434354
NCT00515528,Vaccination Plus Ontak in Patients With Metastatic Melanoma,"Active, not recruiting",No Results Available,Drug: 4-peptide melanoma vaccine|Drug: 4-peptide melanoma vaccine plus Ontak|Drug: ontak,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00515528
NCT03293784,TNF-Inhibitor as Immune Checkpoint Inhibitor for Advanced MELanoma,Recruiting,No Results Available,Combination Product: Nivolumab+Ipilimumab in combination with Anti TNF-α Certolizumab|Combination Product: Nivolumab+Ipilimumab in combination with Anti TNF-α Infliximab,All,"18 Years to 70 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03293784
NCT01355120,THE IPI - Trial in Advanced Melanoma: Melanoma Patients With Advanced Disease,Completed,No Results Available,Drug: Ipilimumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01355120
NCT00746746,A Phase II Study of an Anti-Tumor Immunotherapy Regimen Comprised of Pegylated Interferon-Alpha 2b and HyperAcute Melanoma Vaccine for Subjects With Advanced Melanoma,Unknown status,No Results Available,Biological: HyperAcute vaccine|Drug: Pegylated Interferon-Alpha 2b,All,"19 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00746746
NCT03178123,The Study of JS001 Compared to High-Dose Interferon In Patients With Mucosal Melanoma That Has Been Removed by Surgery,Recruiting,No Results Available,Biological: humanized anti-PD-1 monoclonal antibody|Biological: high-dose recombinant interferon a-2B,All,"18 Years to 75 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03178123
NCT01042366,Dendritic Cells (DC) Vaccine for Metastatic Melanoma,Terminated,Has Results,Biological: Vaccination,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01042366
NCT02626962,Trial of Nivolumab in Combination With Ipilimumab in Subjects With Previously Untreated Metastatic Uveal Melanoma,"Active, not recruiting",No Results Available,Drug: ipilimumab|Drug: Nivolumab,All,"18 Years to 99 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02626962
NCT02036086,Study of Neo-adjuvant Use of Vemurafenib Plus Cobimetinib for BRAF Mutant Melanoma With Palpable Lymph Node Metastases,Recruiting,No Results Available,Drug: Vemurafenib|Drug: Cobimetinib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02036086
NCT01011530,Dose Escalation Study of MLN4924 in Adults With Melanoma,Completed,No Results Available,Drug: MLN4924,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01011530
NCT01781026,Phase 2 Study of Neoadjuvant Vemurafenib in Melanoma Patients With Untreated Brain Metastases,Completed,Has Results,Drug: Vemurafenib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01781026
NCT03391050,A Study of APR-246 in Combination With Dabrafenib in Resistant Patients With BRAF V600 Mutant Melanoma,"Active, not recruiting",No Results Available,Drug: APR-246|Drug: Dabrafenib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03391050
NCT02828202,Follow-up of a National Cohort of Melanoma Stage IV and Unresectable Stage III Patients,Recruiting,No Results Available,Other: Biological|Other: Tissular|Other: Quality of life,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02828202
NCT00835419,Efficacy Study Of P276-00 In Subjects Of Malignant Melanoma Positive For Cyclin D1 Expression,Completed,No Results Available,Drug: P276-00,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00835419
NCT00701987,"Safety, Tolerability, and Preliminary Efficacy Study of ALS-357 in Patients With Cutaneous Metastatic Melanoma",Unknown status,No Results Available,Drug: ALS-357,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00701987
NCT02621021,A Prospective Randomized and Phase 2 Trial for Metastatic Melanoma Using Adoptive Cell Therapy With Tumor Infiltrating Lymphocytes Plus IL-2 Either Alone or Following the Administration of Pembrolizumab,Recruiting,No Results Available,Drug: Cyclophosphamide|Drug: Fludarabine|Drug: Aldeslaukin|Drug: Pembrolizumab|Biological: young TIL,All,"16 Years to 70 Years   (Child, Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02621021
NCT00466687,Erlotinib and Bevacizumab in Treating Patients With Stage IV Melanoma,Completed,Has Results,Biological: bevacizumab|Drug: erlotinib hydrochloride|Genetic: fluorescence in situ hybridization|Genetic: gene expression analysis|Other: immunologic technique|Other: laboratory biomarker analysis|Procedure: biopsy,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00466687
NCT02225366,Intratumoral Injections of LL37 for Melanoma,"Active, not recruiting",No Results Available,Biological: LL37|Other: Photographs,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02225366
NCT03712358,PVSRIPO for Patients With Unresectable Melanoma,Recruiting,No Results Available,Biological: PVSRIPO,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03712358
NCT00658437,CY503 for the Treatment of Malignant Melanoma Stage IV After Failure of Prior Therapy,Completed,No Results Available,Drug: CY-503,All,"18 Years to 90 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00658437
NCT02416232,Access Study of Trametinib for Subjects With Advanced Unresectable (Stage IIIc) or Distant Metastatic (Stage IV) BRAF V600E/K Mutation Positive Cutaneous Melanoma,No longer available,No Results Available,Drug: Trametinib|Drug: Dabrafenib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02416232
NCT03353402,Fecal Microbiota Transplantation (FMT) in Metastatic Melanoma Patients Who Failed Immunotherapy,Recruiting,No Results Available,Procedure: Fecal Microbiota Transplant (FMT),All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03353402
