NCT Number,Title,Status,Study Results,Interventions,Gender,Age,URL
NCT02094872,Molecularly Targeted Therapy in Treating Patients With BRAF Wild-type Melanoma That is Metastatic,"Active, not recruiting",No Results Available,Other: cytology specimen collection procedure|Drug: MEK 162 therapy or molecularly targeted therapy|Procedure: therapeutic procedure|Other: laboratory biomarker analysis|Other: quality-of-life assessment,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02094872
NCT02501551,"Regorafenib, C-kit Mutated Malignant Melanoma, 2nd Line Therapy",Recruiting,No Results Available,Drug: regorafenib,All,"19 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02501551
NCT02071940,PLX3397 KIT in Acral aNd mucOsal Melanoma,Recruiting,No Results Available,Drug: PLX3397,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02071940
NCT02975700,A Study of PLX3397 in Patients With Unresectable or Metastatic KIT-mutated Melanoma,"Active, not recruiting",No Results Available,Drug: PLX3397,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02975700
NCT01028222,A Study of AMNN107 in the Treatment of Metastatic and/or Inoperable Melanoma Harboring a c-Kit Mutation,Completed,Has Results,Drug: Nilotinib|Drug: DTIC,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01028222
NCT01280565,Masitinib in Non-Resectable or Metastatic Stage 3/4 Melanoma Carrying a Mutation in the Juxta Membrane Domain of c-Kit,Recruiting,No Results Available,Drug: Masitinib|Drug: Dacarbazine,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01280565
NCT01099514,Study of Nilotinib in Metastatic Melanoma With KIT Aberrations,Completed,No Results Available,Drug: Nilotinib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01099514
NCT00597272,"Determine Toxicity and Antibody Responses With a KLH Conjugated Bivalent Vaccine Containing GD2 Lactone, GD3 Lactone With Immunological Adjuvant QS-DG or OPT-821 in Patients With Disease Free AJCC Stage III or IV Cutaneous Melanoma",Completed,Has Results,Biological: KLH conjugates with GD2L and GD3L,All,"21 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00597272
NCT01928940,Japan PhI/II of GSK2118436 and GSK1120212 Combination in Subjects With BRAF V600E/K Mutation Positive Advanced Solid Tumors (Phase I Part) or Cutaneous Melanoma (Phase II Part),Completed,Has Results,Drug: dabrafenib|Drug: trametinib,All,"20 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01928940
NCT01916135,"PET Imaging of Cancer Patients Using [18F]-SKI-249380, a Radiolabeled Dasatinib-Derivative","Active, not recruiting",No Results Available,Radiation: [18F]-SKI-249380|Procedure: PET/CT scan|Other: Blood draws,female,"21 Years to 90 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01916135
NCT00207298,18F-fluorodeoxyglucose (18F-FDG) Positron Emission Tomography in Oncology,Completed,No Results Available,Procedure: Positron Emission Tomography,male,"19 Years to 90 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00207298
