# The Comparative Toxicogenomics Database (CTD) - http://ctdbase.org/,,,,,,,,
#   Copyright 2002-2012 MDI Biological Laboratory. All rights reserved.,,,,,,,,
#   Copyright 2012-2019 MDI Biological Laboratory & NC State University. All rights reserved.,,,,,,,,
#  ,,,,,,,,
# ,,,,,,,,
# Use is subject to the terms set forth at http://ctdbase.org/about/legal.jsp,,,,,,,,
# These terms include:,,,,,,,,
# ,,,,,,,,
#   1. All forms of publication (e.g., web sites, research papers, databases,,,,,
#      software applications, etc.) that use or rely on CTD data must cite CTD.,,,,,,,
#      Citation guidelines: http://ctdbase.org/about/publications/#citing,,,,,,,,
# ,,,,,,,,
#   2. All electronic or online applications must include hyperlinks from ,,,,,,,,
#      contexts that use CTD data to the applicable CTD data pages.,,,,,,,,
#      Linking instructions: http://ctdbase.org/help/linking.jsp,,,,,,,,
# ,,,,,,,,
#   3. You must notify CTD, and describe your use of our data:,,,,,,,
#      http://ctdbase.org/help/contact.go,,,,,,,,
# ,,,,,,,,
#   4. For quality control purposes, you must provide CTD with periodic ,,,,,,,
#      access to your publication of our data.,,,,,,,,
# ,,,,,,,,
# More information: http://ctdbase.org/downloads/,,,,,,,,
# ,,,,,,,,
# Report created: Tue Feb 05 15:10:21 EST 2019,,,,,,,,
#,,,,,,,,
# Fields:,,,,,,,,
# DiseaseName,DiseaseID,AltDiseaseIDs,Definition,ParentIDs,TreeNumbers,ParentTreeNumbers,Synonyms,SlimMappings
#,,,,,,,,
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,OMIM:231530,,MESH:D008661,C16.320.565/C535310|C18.452.648/C535310,C16.320.565|C18.452.648,"3-Alpha-Hydroxyacyl-Coenzyme A Dehydrogenase Deficiency|3-Hydroxyacyl-Coenzyme A Dehydrogenase Deficiency|HAD Deficiency|HADH Deficiency|HADHSC Deficiency|L-3-Alpha-Hydroxyacyl-CoA Dehydrogenase, Short Chain, Deficiency|M-SCHAD Deficiency|SCHAD Deficiency|SCHAD DEFICIENCY, FORMERLY",Genetic disease (inborn)|Metabolic disease
3-Hydroxyisobutyric aciduria,MESH:C535312,,,MESH:D000592,C16.320.565.100/C535312|C18.452.648.100/C535312,C16.320.565.100|C18.452.648.100,,Genetic disease (inborn)|Metabolic disease
3-methylcrotonyl CoA carboxylase 1 deficiency,MESH:C535308,OMIM:210200,,MESH:D056806,C10.228.140.163.100.937/C535308|C16.320.565.100.940/C535308|C16.320.565.189.937/C535308|C18.452.132.100.937/C535308|C18.452.648.100.940/C535308|C18.452.648.189.937/C535308,C10.228.140.163.100.937|C16.320.565.100.940|C16.320.565.189.937|C18.452.132.100.937|C18.452.648.100.940|C18.452.648.189.937,3 alpha methylcrotonylglycinuria 1|3-Mcc Deficiency|3-METHYLCROTONYL-CoA CARBOXYLASE 1 DEFICIENCY|3-Methylcrotonyl-Coa Carboxylase Deficiency|3 Methylcrotonyl-CoA carboxylase deficiency|3-Methylcrotonyl-Coenzyme A Carboxylase Deficiency|3 Methylcrotonylglycinuria|3-Methylcrotonylglycinuria|3-Methylcrotonylglycinuria I|Bmcc Deficiency|Deficiency of Methylcrotonoyl-Coa Carboxylase|MCC1D|MCC1 Deficiency|Mcc Deficiency|MCCD Type 1|methylcrotonoyl-CoA carboxylase 1 deficiency|Methylcrotonyl-Coa Carboxylase Deficiency|Methylcrotonylglycinuria Type I,Genetic disease (inborn)|Metabolic disease|Nervous system disease
3-methylcrotonyl CoA carboxylase 2 deficiency,MESH:C535309,OMIM:210210,,MESH:D056806,C10.228.140.163.100.937/C535309|C16.320.565.100.940/C535309|C16.320.565.189.937/C535309|C18.452.132.100.937/C535309|C18.452.648.100.940/C535309|C18.452.648.189.937/C535309,C10.228.140.163.100.937|C16.320.565.100.940|C16.320.565.189.937|C18.452.132.100.937|C18.452.648.100.940|C18.452.648.189.937,"3 alpha methylcrotonyl-coa carboxylase 2 deficiency|3 alpha methylcrotonylglycinuria 2|3-Methylcrotonyl-CoA Carboxylase 2 Deficiency|3-Methylcrotonylglycinuria II|MCC2D|MCC2 Deficiency|methylcrotonoyl-CoA carboxylase 2 deficiency|Methylcrotonylglycinuria type 2|Methylcrotonylglycinuria, Type II",Genetic disease (inborn)|Metabolic disease|Nervous system disease
3-Methylglutaconic Aciduria,MESH:C579867,DO:DOID:0060336,,MESH:D008661,C16.320.565/C579867|C18.452.648/C579867,C16.320.565|C18.452.648,3mga (3-Methylglutaconic Aciduria),Genetic disease (inborn)|Metabolic disease
"3-Methylglutaconic Aciduria, Type I",MESH:C562801,OMIM:250950,,MESH:D008661,C16.320.565/C562801|C18.452.648/C562801,C16.320.565|C18.452.648,"3-Methylglutaconyl-CoA Hydratase Deficiency|3-Mg-CoA-Hydratase Deficiency|MGA1|MGA, Type I|MGCA1",Genetic disease (inborn)|Metabolic disease
3-Methylglutaconic Aciduria Type IV,MESH:C565393,,,MESH:D000015|MESH:D008661,C16.131.077/C565393|C16.320.565/C565393|C18.452.648/C565393,C16.131.077|C16.320.565|C18.452.648,MGA4|MGA Type IV,Congenital abnormality|Genetic disease (inborn)|Metabolic disease
"3-Methylglutaconic Aciduria, Type V",MESH:C565706,OMIM:610198,,MESH:D002311|MESH:D002524|MESH:D008661,C10.228.140.252.190/C565706|C10.597.350.090.500/C565706|C14.280.195.160/C565706|C14.280.238.070/C565706|C16.320.565/C565706|C18.452.648/C565706|C23.888.592.350.090.200/C565706,C10.228.140.252.190|C10.597.350.090.500|C14.280.195.160|C14.280.238.070|C16.320.565|C18.452.648|C23.888.592.350.090.200,"Cardiomyopathy, Dilated, with Ataxia|DCMA|MGA5|MGA, Type V|MGCA5",Cardiovascular disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms
"3-METHYLGLUTACONIC ACIDURIA, TYPE VIII",OMIM:617248,DO:DOID:0070000,,MESH:C579867,C16.320.565/C579867/617248|C18.452.648/C579867/617248,C16.320.565/C579867|C18.452.648/C579867,MGCA8,Genetic disease (inborn)|Metabolic disease
"3-METHYLGLUTACONIC ACIDURIA WITH CATARACTS, NEUROLOGIC INVOLVEMENT, AND NEUTROPENIA",OMIM:616271,DO:DOID:0110003,,MESH:C579867|MESH:D002386|MESH:D009461|MESH:D009503,C10.597/616271|C11.510.245/616271|C15.378.553.546.184.564/616271|C16.320.565/C579867/616271|C18.452.648/C579867/616271|C23.888.592/616271,C10.597|C11.510.245|C15.378.553.546.184.564|C16.320.565/C579867|C18.452.648/C579867|C23.888.592,"3-METHYLGLUTACONIC ACIDURIA, TYPE VII|MEGCANN|MGCA7",Blood disease|Eye disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms
"3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME",OMIM:614739,DO:DOID:0110001,,MESH:C579867|MESH:D001927|MESH:D003638|MESH:D007888,C09.218.458.341.186/614739|C10.228.140.163.100.412/614739|C10.228.140/614739|C10.597.751.418.341.186/614739|C16.320.565.189.412/614739|C16.320.565.202.810.444/614739|C16.320.565/C579867/614739|C18.452.132.100.412/614739|C18.452.648.189.412/614739|C18.452.648.202.810.444/614739|C18.452.648/C579867/614739|C18.452.660.520/614739|C23.888.592.763.393.341.186/614739,C09.218.458.341.186|C10.228.140|C10.228.140.163.100.412|C10.597.751.418.341.186|C16.320.565.189.412|C16.320.565.202.810.444|C16.320.565/C579867|C18.452.132.100.412|C18.452.648.189.412|C18.452.648.202.810.444|C18.452.648/C579867|C18.452.660.520|C23.888.592.763.393.341.186,"3-METHYLGLUTACONIC ACIDURIA, TYPE VI|3-METHYLGLUTACONIC ACIDURIA WITH DYSTONIA-DEAFNESS, HEPATOPATHY, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME|MEGDEL|MEGDHEL|MGCA6",Ear-nose-throat disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms
"46, XX Disorders of Sex Development",MESH:D058489,,"Congenital conditions in individuals with a female karyotype, in which the development of the gonadal or anatomical sex is atypical.",MESH:D012734,C12.706.316.064|C13.351.875.253.064|C16.131.939.316.064|C19.391.119.064,C12.706.316|C13.351.875.253|C16.131.939.316|C19.391.119,"46,XX Disorders of Sex Development|46, XX DSD|46,XX DSD|Female Pseudohermaphroditism|Female Pseudohermaphroditisms|Pseudohermaphroditism, Female|Pseudohermaphroditisms, Female",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XX Gonadal dysgenesis epibulbar dermoid",MESH:C535316,,,MESH:D003884|MESH:D023961,C04.182.201/C535316|C04.557.465.910.250/C535316|C12.706.316.064.249/C535316|C12.706.316.309.193/C535316|C13.351.875.253.064.249/C535316|C13.351.875.253.309.193/C535316|C16.131.939.316.064.249/C535316|C16.131.939.316.309.193/C535316|C19.391.119.064.249/C535316|C19.391.119.309.193/C535316,C04.182.201|C04.557.465.910.250|C12.706.316.064.249|C12.706.316.309.193|C13.351.875.253.064.249|C13.351.875.253.309.193|C16.131.939.316.064.249|C16.131.939.316.309.193|C19.391.119.064.249|C19.391.119.309.193,,Cancer|Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,Xx Gonadal Dysgenesis, Partial Or Complete, Autosomal",MESH:C567597,,,MESH:D023961,C12.706.316.064.249/C567597|C12.706.316.309.193/C567597|C13.351.875.253.064.249/C567597|C13.351.875.253.309.193/C567597|C16.131.939.316.064.249/C567597|C16.131.939.316.309.193/C567597|C19.391.119.064.249/C567597|C19.391.119.309.193/C567597,C12.706.316.064.249|C12.706.316.309.193|C13.351.875.253.064.249|C13.351.875.253.309.193|C16.131.939.316.064.249|C16.131.939.316.309.193|C19.391.119.064.249|C19.391.119.309.193,"Xx Male Syndrome, Sry-Negative",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XX SEX REVERSAL 1",OMIM:400045,DO:DOID:14450,,MESH:D023961,C12.706.316.064.249/400045|C12.706.316.309.193/400045|C13.351.875.253.064.249/400045|C13.351.875.253.309.193/400045|C16.131.939.316.064.249/400045|C16.131.939.316.309.193/400045|C19.391.119.064.249/400045|C19.391.119.309.193/400045,C12.706.316.064.249|C12.706.316.309.193|C13.351.875.253.064.249|C13.351.875.253.309.193|C16.131.939.316.064.249|C16.131.939.316.309.193|C19.391.119.064.249|C19.391.119.309.193,"46,XX GONADAL DYSGENESIS, COMPLETE, SRY-POSITIVE 46,XX TRUE HERMAPHRODITISM, SRY-POSITIVE, INCLUDED|46,XX SEX REVERSAL, SRY-POSITIVE|46,XX TESTICULAR DISORDER OF SEX DEVELOPMENT|OVOTESTICULAR DISORDER OF SEX DEVELOPMENT, INCLUDED|OVOTESTICULAR DSD, INCLUDED|SRXX1|XX MALE, SRY-POSITIVE",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XX SEX REVERSAL 2",OMIM:278850,DO:DOID:14450,,MESH:D023961,C12.706.316.064.249/278850|C12.706.316.309.193/278850|C13.351.875.253.064.249/278850|C13.351.875.253.309.193/278850|C16.131.939.316.064.249/278850|C16.131.939.316.309.193/278850|C19.391.119.064.249/278850|C19.391.119.309.193/278850,C12.706.316.064.249|C12.706.316.309.193|C13.351.875.253.064.249|C13.351.875.253.309.193|C16.131.939.316.064.249|C16.131.939.316.309.193|C19.391.119.064.249|C19.391.119.309.193,CHROMOSOME 17q24 DUPLICATION SYNDROME|SRXX2,Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XX SEX REVERSAL 3",OMIM:300833,DO:DOID:14450,,MESH:D023961,C12.706.316.064.249/300833|C12.706.316.309.193/300833|C13.351.875.253.064.249/300833|C13.351.875.253.309.193/300833|C16.131.939.316.064.249/300833|C16.131.939.316.309.193/300833|C19.391.119.064.249/300833|C19.391.119.309.193/300833,C12.706.316.064.249|C12.706.316.309.193|C13.351.875.253.064.249|C13.351.875.253.309.193|C16.131.939.316.064.249|C16.131.939.316.309.193|C19.391.119.064.249|C19.391.119.309.193,"46,XX SEX REVERSAL, SOX3-RELATED  CHROMOSOME Xq26 DELETION SYNDROME, INCLUDED|CHROMOSOME Xq26 DUPLICATION SYNDROME|SRXX3",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS",OMIM:611812,DO:DOID:14450,,MESH:D000307|MESH:D007674|MESH:D008171|MESH:D058489,C08.381/611812|C12.706.316.064/611812|C12.777.419/611812|C13.351.875.253.064/611812|C13.351.968.419/611812|C16.131.939.316.064/611812|C19.053/611812|C19.391.119.064/611812,C08.381|C12.706.316.064|C12.777.419|C13.351.875.253.064|C13.351.968.419|C16.131.939.316.064|C19.053|C19.391.119.064,SERKAL|SERKAL SYNDROME,Congenital abnormality|Endocrine system disease|Respiratory tract disease|Urogenital disease (female)|Urogenital disease (male)
"46, XX Testicular Disorders of Sex Development",MESH:D058531,,Congenital conditions in individuals in which male GONADS develop in a genetic female (female to male sex reversal).,MESH:D058489,C12.706.316.064.124|C13.351.875.253.064.124|C16.131.939.316.064.124|C19.391.119.064.124,C12.706.316.064|C13.351.875.253.064|C16.131.939.316.064|C19.391.119.064,"46, XX Gonadal Sex Reversal|46, XX Testicular Disorder of Sex Development|46, XX Testicular DSD|Gonadal Sex Reversal, 46, XX|Reversals, XX Sex|Reversal, XX Sex|Sex Reversal, Gonadal, 46, XX|Sex Reversals, XX|Sex Reversal, XX|Syndromes, XX Male|Syndrome, XX Male|XX Male Syndrome|XX Male Syndromes|XX Sex Reversal|XX Sex Reversals",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46, XY female",MESH:C536769,,,MESH:D006061,C12.706.316.096.687/C536769|C12.706.316.309.388/C536769|C13.351.875.253.096.687/C536769|C13.351.875.253.309.388/C536769|C16.131.939.316.096.687/C536769|C16.131.939.316.309.388/C536769|C19.391.119.096.687/C536769|C19.391.119.309.388/C536769,C12.706.316.096.687|C12.706.316.309.388|C13.351.875.253.096.687|C13.351.875.253.309.388|C16.131.939.316.096.687|C16.131.939.316.309.388|C19.391.119.096.687|C19.391.119.309.388,XY Female,Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
