# The Comparative Toxicogenomics Database (CTD) - http://ctdbase.org/,,,,,,,,
#   Copyright 2002-2012 MDI Biological Laboratory. All rights reserved.,,,,,,,,
#   Copyright 2012-2019 MDI Biological Laboratory & NC State University. All rights reserved.,,,,,,,,
#  ,,,,,,,,
# ,,,,,,,,
# Use is subject to the terms set forth at http://ctdbase.org/about/legal.jsp,,,,,,,,
# These terms include:,,,,,,,,
# ,,,,,,,,
#   1. All forms of publication (e.g., web sites, research papers, databases,,,,,
#      software applications, etc.) that use or rely on CTD data must cite CTD.,,,,,,,
#      Citation guidelines: http://ctdbase.org/about/publications/#citing,,,,,,,,
# ,,,,,,,,
#   2. All electronic or online applications must include hyperlinks from ,,,,,,,,
#      contexts that use CTD data to the applicable CTD data pages.,,,,,,,,
#      Linking instructions: http://ctdbase.org/help/linking.jsp,,,,,,,,
# ,,,,,,,,
#   3. You must notify CTD, and describe your use of our data:,,,,,,,
#      http://ctdbase.org/help/contact.go,,,,,,,,
# ,,,,,,,,
#   4. For quality control purposes, you must provide CTD with periodic ,,,,,,,
#      access to your publication of our data.,,,,,,,,
# ,,,,,,,,
# More information: http://ctdbase.org/downloads/,,,,,,,,
# ,,,,,,,,
# Report created: Tue Feb 05 15:10:05 EST 2019,,,,,,,,
#,,,,,,,,
# Fields:,,,,,,,,
# ChemicalName,ChemicalID,CasRN,Definition,ParentIDs,TreeNumbers,ParentTreeNumbers,Synonyms,DrugBankIDs
#,,,,,,,,
"10,10-difluoro-13-dehydroprostacyclin",MESH:C024526,80226-91-1,,MESH:D011464,D10.251.355.255.550.550.500/C024526|D23.469.050.175.725.550.500/C024526,D10.251.355.255.550.550.500|D23.469.050.175.725.550.500,"10,10-difluoro-13-dehydro-PGX|10,10-difluoro-13-dehydroprostacyclin, monosodium salt, (5Z,8beta,9beta,11beta,12alpha,15S)-isomer|10,10-difluoro-13-dehydroprostacyclin, monosodium salt, (5Z,9alpha,11alpha,15S)-isomer|DFLDEHPROSTA|difluoro-PGI2|fluoroprostacyclin|Prost-5-en-13-yn-1-oic acid, 6,9-epoxy-10,10-difluoro-11,15-dihydroxy-, (5Z,9alpha,11alpha,15S)-",
"10,10-difluoroarachidonic acid",MESH:C053260,108212-58-4,,MESH:D001095,D10.251.355.255.100/C053260|D10.251.355.310.166/C053260,D10.251.355.255.100|D10.251.355.310.166,,
"10,10-difluorothromboxane A2",MESH:C060259,121573-36-2,,MESH:D013928,D10.251.355.255.100.825.800/C060259|D10.251.355.310.166.971.800/C060259,D10.251.355.255.100.825.800|D10.251.355.310.166.971.800,"10,10-difluorothromboxane A2, (5E,9alpha,11alpha,13E,15R)-isomer|10,10-difluorothromboxane A2, (5E,9alpha,11alpha,13E,15S)-isomer|10,10-difluorothromboxane A2, (5Z,9alpha,11alpha,13E,15R)-isomer|10,10-difluoro-TXA2",
"10,10-dimethyl-10-deazaaminopterin",MESH:C040211,80576-88-1,,MESH:D000630,D03.633.100.733.631.192/C040211,D03.633.100.733.631.192,"10,10-dimethyl-10-deaza-aminopterin|L-Glutamic acid, N-(4-(2-(2,4-diamino-6-pteridinyl)-1,1-dimethylethyl)benzoyl)-",
"10,10'-dimethyl-9,9'-biacridinium",MESH:C033472,2315-97-1,,MESH:D000166,D03.633.300.046/C033472,D03.633.300.046,bis-N-methylacridinium|dimethyl biacridinium dinitrate|Lucigenin,
"10,10'-dimethyl-9,9'-biacridinium bis(monomethyl terephthalate)",MESH:C000599298,,,MESH:D000166|MESH:D010795,D02.241.223.805/C000599298|D03.633.300.046/C000599298,D02.241.223.805|D03.633.300.046,,
"10,10-dimethylanthrone",MESH:C000598765,,,MESH:D000873,D02.455.426.559.847.117/C000598765|D04.615.117/C000598765,D02.455.426.559.847.117|D04.615.117,,
"10,10-dimethylarachidonic acid",MESH:C038721,85924-32-9,,MESH:D001095,D10.251.355.255.100/C038721|D10.251.355.310.166/C038721,D10.251.355.255.100|D10.251.355.310.166,,
"10,10-dimethylhuperzine A",MESH:C421343,,,MESH:D012717,D02.455.849.765/C421343,D02.455.849.765,,
10-(10H-phenothiazin-3'-yl)propenal,MESH:C000604906,,,MESH:D000171|MESH:D010640,D02.047.122/C000604906|D02.886.369/C000604906|D03.633.300.783/C000604906,D02.047.122|D02.886.369|D03.633.300.783,,
"10,10'-oxybisphenoxarsine",MESH:C499044,,,MESH:D001152,D01.075/C499044|D02.691.088/C499044,D01.075|D02.691.088,OBPA cpd,
101.10 peptide,MESH:C529594,,,MESH:D010455,D12.644/C529594,D12.644,peptide 101.10|rytvela,
"10,11,12-guaianetriol",MESH:C551215,,,MESH:D012717,D02.455.849.765/C551215,D02.455.849.765,,
"10,11,12-trihydroxy-5,8,14,17-eicosatetraenoic acid",MESH:C046445,98004-40-1,,MESH:D006893,D10.251.355.255.100.300/C046445|D10.251.355.310.166.550/C046445,D10.251.355.255.100.300|D10.251.355.310.166.550,"10,11,12-T-5,8,14,17-HETA|hatching factor, Balanus balanoides",
"(10,11,12)-trihydroxy-(7Z,14Z)-heptadecadienoic acid",MESH:C539684,,,MESH:D005231,D10.251.355/C539684,D10.251.355,THHDD cpd,
"10,11,12-trihydroxyeicosatrienoic acid",MESH:C037854,85589-25-9,,MESH:D015126,D10.251.355.255.207/C037854,D10.251.355.255.207,"10,11,12-TETA|5,8,14-Eicosatrienoic acid, 10,11,12-trihydroxy-",
"10,11-dehydro-2-acetoxytrimipramine",MESH:C085056,158798-74-4,,MESH:D014299,D03.633.300.240.918/C085056,D03.633.300.240.918,"10,11-dehydro-2-AcO-TMP",
"10,11-dibromoundecanoyl maltoside",MESH:C403642,,,MESH:D005960,D09.408.348/C403642,D09.408.348,"10,11-DBM|10,11-dibromoundecanoyl beta-maltoside",
"10,11-didehydroepothilone D",MESH:C465909,,,MESH:D013844|MESH:D034261,D02.540.576.500.984/C465909|D02.886.675/C465909|D03.383.129.708/C465909,D02.540.576.500.984|D02.886.675|D03.383.129.708,"10,11-didehydro-epothilone D",
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",MESH:C004822,35079-97-1,,MESH:D002220,D03.633.300.240.127/C004822,D03.633.300.240.127,"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide, (10S,trans)-isomer|10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide, (cis)-isomer|10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide, (trans-(+-))-isomer|10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide, (trans)-isomer|10,11-dihydro-10,11-dihydroxycarbamazepine|10,11-dihydro-10,11-transdihydroxycarbamazepine|10,11-dihydroxy-10,11-dihydrocarbamazepine|10,11-dihydroxycarbamazepine|carbamazepine-10,11-diol|carbamazepine-10,11-transdiol|carbazepine 10,11-diol|CBZD|CBZ-diol|CGP 10,000|CGP-10,000",
"10,11-dihydro-10,11-dihydroxyprotriptyline",MESH:C011448,29785-65-7,,MESH:D011530,D02.455.426.559.847.181.384.650/C011448|D04.615.181.384.650/C011448,D02.455.426.559.847.181.384.650|D04.615.181.384.650,,
"10,11-dihydro-10-hydroxy-5H-dibenz(b,f)azepine-5-carboxamide",MESH:C428744,,,MESH:D003984,D03.633.300.240/C428744,D03.633.300.240,"10,11-MHD|Licarbazepine",
"10,11-dihydro-10-hydroxycarbamazepine",MESH:C039775,,,MESH:D002220,D03.633.300.240.127/C039775,D03.633.300.240.127,10-hydroxycarbamazepine|10-hydroxycarbazepine|10-OH-carbazepine|GP 47779|GP-47779,
"10,11-dihydro-5H-benz(b,f)azepine",MESH:C546406,,,MESH:D001552,D03.633.100.079/C546406,D03.633.100.079,DBZA compound,
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",MESH:C515697,,,MESH:D003508,D02.455.426.392.368.284/C515697,D02.455.426.392.368.284,,
"((10,11-dihydro-5H-dibenzo(b,f)azepin-5-yl)(hydroxy)methylidene)azanium chloride",MESH:C000608672,,,MESH:D001381,D03.383.066/C000608672,D03.383.066,,
"10,11-dihydroanhydrobarakol",MESH:C545131,,,MESH:D002867,D03.383.663.283.266/C545131|D03.633.100.150.266/C545131,D03.383.663.283.266|D03.633.100.150.266,,
"10,11-dihydrobenzo(j)fluoranthen-12-one",MESH:C573734,,,MESH:D005449,D02.455.426.559.847.389/C573734|D04.615.389/C573734,D02.455.426.559.847.389|D04.615.389,,
"10,11-dihydrocarbamazepine",MESH:C054135,3564-73-6,,MESH:D002220,D03.633.300.240.127/C054135,D03.633.300.240.127,dihydrocarbamazepine,
"10,11-dihydrocyclonerotriol",MESH:C588190,,,MESH:D012717,D02.455.849.765/C588190,D02.455.849.765,,
"10,11-dihydrodesmycosin",MESH:C481482,,,MESH:D015645,D02.540.505.905/C481482,D02.540.505.905,"10,11-DHD",
"10,11-dihydrodibenzo(b,f)(1,4)oxazepine",MESH:C000599114,,,MESH:D010077,D03.383.066.498/C000599114,D03.383.066.498,,
"10,11-dihydrodibenzo(b,f)oxepine-4-carboxamide",MESH:C569520,,,MESH:D001584,D03.633.100.245/C569520,D03.633.100.245,,
"10,11-dihydrodictyostatin",MESH:C529251,,,MESH:D018942,D02.540.505/C529251|D02.540.576.500/C529251|D04.345.674.500/C529251,D02.540.505|D02.540.576.500|D04.345.674.500,,
"10,11-dihydrodiol-8,9-epoxide benzanthracene",MESH:C071545,63438-27-7,,MESH:D001551,D02.455.426.559.847.149/C071545|D04.615.149/C071545,D02.455.426.559.847.149|D04.615.149,"benzo(a)anthracene 10,11-dihydrodiol-8,9-epoxide|DDE-benzanthracene",
"10,11-dihydroxy-10,11-dihydroacenaphtho(1,2-b)benzo(d)thiophene",MESH:C418732,,,MESH:D006576|MESH:D013876,D02.886.778/C418732|D03.383.903/C418732|D03.633.400/C418732,D02.886.778|D03.383.903|D03.633.400,"DDBT cpd|trans-10,11-dihydroxy-10,11-dihydroacenaphtho(1,2-b)benzo(d)thiophene",
"10,11-dihydroxydihydroquinidine N-oxide",MESH:C064337,100182-37-4,,MESH:D011802,D03.132.206.636/C064337|D03.605.687.637/C064337|D03.633.100.810.699/C064337,D03.132.206.636|D03.605.687.637|D03.633.100.810.699,"10,11-diol-QNO",
"10,11-dihydroxydihydroquinine",MESH:C429827,,,MESH:D011809,D02.806/C429827,D02.806,"10(R),11-dihydroxydihydroquinine",
"10,11-dihydroxydracaenone C",MESH:C514727,,,MESH:D007529,D03.383.663.283.266.450.400/C514727|D03.633.100.150.266.450.400/C514727,D03.383.663.283.266.450.400|D03.633.100.150.266.450.400,,
"10,11-dihydroxy-N-allylnoraporphine",MESH:C067052,18426-17-0,,MESH:D001060,D03.132.098.038/C067052|D03.633.100.531.085.030/C067052|D03.633.400.095/C067052,D03.132.098.038|D03.633.100.531.085.030|D03.633.400.095,"10,11-dihydroxy-N-allylnoraporphine hydrochloride",
"10,11-dihydroxy-N-methylnorapomorphine",MESH:C080453,147353-44-4,,MESH:D001058,D03.132.098.038.290/C080453|D03.633.100.531.085.030.290/C080453|D03.633.400.095.290/C080453,D03.132.098.038.290|D03.633.100.531.085.030.290|D03.633.400.095.290,"10,11-dihydroxy-N-(11C)methylnorapomorphine|10,11-dihydroxy-N-(methyl)norapomorphine|10,11-DOH-MeNAM",
"10,11-dihydroxy-N-(n-2-fluoroethyl)norapomorphine",MESH:C080804,149156-25-2,,MESH:D001058,D03.132.098.038.290/C080804|D03.633.100.531.085.030.290/C080804|D03.633.400.095.290/C080804,D03.132.098.038.290|D03.633.100.531.085.030.290|D03.633.400.095.290,"FNEA-10,11",
"10,11-dihydroxy-N-(n-3-fluoropropyl)norapomorphine",MESH:C080805,146578-65-6,,MESH:D001058,D03.132.098.038.290/C080805|D03.633.100.531.085.030.290/C080805|D03.633.400.095.290/C080805,D03.132.098.038.290|D03.633.100.531.085.030.290|D03.633.400.095.290,"FNPA-10,11",
"10,11-dihydroxy-N-n-propylnorapomorphine",MESH:C425777,,,MESH:D001058,D03.132.098.038.290/C425777|D03.633.100.531.085.030.290/C425777|D03.633.400.095.290/C425777,D03.132.098.038.290|D03.633.100.531.085.030.290|D03.633.400.095.290,NPA cpd,
"10,11-dihydroxyoctadeca-6,8,12-trienoic acid",MESH:C060442,121979-39-3,,MESH:D008042,D10.251.355.310.640/C060442,D10.251.355.310.640,"10,11-dihydroxy-6,8,12-octadecatrienoic acid|10,11-DOTA",
"10,11-dihydroxyquinine",MESH:C518834,,,MESH:D011803,D03.132.206.719/C518834|D03.605.687.762/C518834|D03.633.100.810.762/C518834,D03.132.206.719|D03.605.687.762|D03.633.100.810.762,,
"10,11-dimethoxy-4-N-hydroxymethyl strychnidin-17-acetic acid",MESH:C557762,,,MESH:D026121,D03.132.436/C557762|D03.633.100.473.402/C557762,D03.132.436|D03.633.100.473.402,,
"10,11-dimethoxyisomitraphylline",MESH:C432983,,,MESH:D007211,D03.633.100.473/C432983,D03.633.100.473,,
"10,11-dimethoxymitraphylline",MESH:C432982,,,MESH:D007211,D03.633.100.473/C432982,D03.633.100.473,,
"10,11-dimethoxy-N-n-propylnoraporphine",MESH:C044756,40285-10-7,,MESH:D001058,D03.132.098.038.290/C044756|D03.633.100.531.085.030.290/C044756|D03.633.400.095.290/C044756,D03.132.098.038.290|D03.633.100.531.085.030.290|D03.633.400.095.290,"(+-)-isomer of 10,11-dimethoxy-N-n-propylnoraporphine|NPA-DME|(R)-isomer of 10,11-dimethoxy-N-n-propylnoraporphine",
"10,11-dioxoepierythratidine",MESH:C527622,,,MESH:D000470,D03.132/C527622,D03.132,,
"10,11-dioxoerythratidinone",MESH:C527623,,,MESH:D000470,D03.132/C527623,D03.132,,
"10,11-dioxoerythratine",MESH:C527621,,,MESH:D000470,D03.132/C527621,D03.132,,
"10,11-epoxy-6,7-farnesyl propenyl ether",MESH:C001149,51023-58-6,,MESH:D012717,D02.455.849.765/C001149,D02.455.849.765,"10,11-epoxy-6,7-cis-2,3-trans,cis-farnesyl propenyl ether|3-(3,7-dimethyl-9-(1-propenyloxy)-3,7-nonadienyl)- 2,2-dimethyloxirane",
"10,11-epoxy-hexadecadienoic acid",MESH:C469614,,,MESH:D005231,D10.251.355/C469614,D10.251.355,,
"10',11'-epoxyoligosporon",MESH:C094352,,,MESH:D004852,D02.355.291.411/C094352,D02.355.291.411,,
"10,11-methylenedioxy-14-azacamptothecin",MESH:C519985,,,MESH:D002166,D03.132.151/C519985,D03.132.151,,
"10,11-methylenedioxy-20-camptothecin",MESH:C066731,104155-89-7,,MESH:D002166,D03.132.151/C066731,D03.132.151,MDO-CPT,
"10,11-methylenedioxycamptothecin",MESH:C120496,,,MESH:D002166,D03.132.151/C120496,D03.132.151,MDCPT cpd,
"10,11-methylenedioxy-N-propylnoraporphine",MESH:C033829,81264-57-5,,MESH:D001058,D03.132.098.038.290/C033829|D03.633.100.531.085.030.290/C033829|D03.633.400.095.290/C033829,D03.132.098.038.290|D03.633.100.531.085.030.290|D03.633.400.095.290,"10,11-methylenedioxy-N-propylnoraporphine monohydrochloride, (R)-isomer|6H-Benzo(de)-1,3-benzodioxolo(4,5-g)quinoline, 6a,7,8,9-tetrahydro-7-propyl-, (R)-|MDO-NPA",
"10,11-threo-xanthopappin D",MESH:C000598013,,,MESH:D013876,D02.886.778/C000598013|D03.383.903/C000598013,D02.886.778|D03.383.903,"10,11-erythro-xanthopappin D",
"10,12-hexadecadienyl acetate",MESH:C577304,,,MESH:D000085|MESH:D000466,D02.241.081.018/C577304|D02.455.326.271.665.146/C577304|D10.251.400.045/C577304,D02.241.081.018|D02.455.326.271.665.146|D10.251.400.045,bombykyl acetate,
"10,12-octadecadienoic acid",MESH:C094849,,,MESH:D044243,D10.251.355.343.500.750/C094849,D10.251.355.343.500.750,"10,12-linoleic acid|10,12-octadecadienoate",
"10, 12-pentacosadiynoic acid",MESH:C493048,,,MESH:D005231,D10.251.355/C493048,D10.251.355,"10,12-pentacosadiynoic acid|PCDA cpd",
"10,12-peroxycalamenene",MESH:C096076,,,MESH:D012717,D02.455.849.765/C096076,D02.455.849.765,,
1012S,MESH:C060004,95211-91-9,,MESH:D001569,D03.633.100.079.080/C060004,D03.633.100.079.080,compound 1012S,
1012-S-acetamide adipic hydrazide Sepharose 4B,MESH:C044711,100365-92-2,,MESH:D001569|MESH:D012685,D03.633.100.079.080/C044711|D09.698.813/C044711,D03.633.100.079.080|D09.698.813,"Agarose, ((N,N'-1,2-ethanediylbis(N-(carboxymethyl)glycinato))(4-)-N,N',O,O',ON,ON')-, (2S-trans)-|BAAHS",
"10,12-tetradecadienoic acid",MESH:C447625,,,MESH:D009227,D10.251.640/C447625,D10.251.640,"(E,E)-10,12-tetradecadienoic acid",
"10,12-tetradecadienyl acetate",MESH:C108651,,,MESH:D000085|MESH:D005233,D02.033.415/C108651|D02.241.081.018/C108651|D10.251.400.045/C108651|D10.289/C108651,D02.033.415|D02.241.081.018|D10.251.400.045|D10.289,,
"10,12-tricosadiynoic acid",MESH:C434762,,,MESH:D005231,D10.251.355/C434762,D10.251.355,,
"10,13,16,17-tetrahydroxy-9-methyl-15-oxo-20-norkaurane-18,10-carbolactone",MESH:C495463,,,MESH:D045786,D02.455.849.291.239/C495463,D02.455.849.291.239,"10,13,16,17-tetrahydroxy-9-methyl-15-oxo-20-norkaurane-18,10-carbolactone semihydrate",
"10,13a,14-hydroxyantofine N-oxide",MESH:C420910,,,MESH:D007212|MESH:D010616,D02.455.426.559.847.723/C420910|D03.633.100.496/C420910|D04.615.723/C420910,D02.455.426.559.847.723|D03.633.100.496|D04.615.723,"10,13a,14-hydroxy-antofine N-oxide|10,13-HAO|10beta,13aalpha-14beta-hydroxyantofine N-oxide",
"10,13a-secoantofine N-oxide",MESH:C420908,,,MESH:D007212|MESH:D010616,D02.455.426.559.847.723/C420908|D03.633.100.496/C420908|D04.615.723/C420908,D02.455.426.559.847.723|D03.633.100.496|D04.615.723,"10,13a-seco-antofine N-oxide|10beta,13aalpha-secoantofine N-oxide",
"10,13-diacetoxy-2,5,20-trihydroxy-3,8-secotaxa-3,7,11-trien-9-one",MESH:C119819,,,MESH:D001643,D02.455.426.100.080/C119819|D04.075.080/C119819,D02.455.426.100.080|D04.075.080,"diAcO-2,5,20-trihydroxy-STTO",
"10,13-dimethyl-17-(2-(6-sulfanylidene-3H-purin-9-yl)acetyl)-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta(a)phenanthren-3-one",MESH:C549326,,,MESH:D004224|MESH:D011687,D02.455.849.291/C549326|D03.633.100.759/C549326,D02.455.849.291|D03.633.100.759,NSC114792|NSC 114792|NSC-114792,
"10,13-dimethyltetradecanoic acid",MESH:C411203,,,MESH:D005227,D10.251/C411203,D10.251,"10,13-DMTDA",
"10,13-epoxy-11-methyloctadeca-10,12-dienoic acid",MESH:C096139,57818-39-0,,MESH:D008041,D10.251.355.310.515/C096139|D10.251.355.343.500/C096139,D10.251.355.310.515|D10.251.355.343.500,EMOD F-acid|furan fatty acid F18,
"10,14-dihydroxy-9,11,13,13-tetramethyl-2-(1-methyl-2-(2-methyl-thiazol-4-yl)-vinyl)-5-(7-nitro-benzo(1,2,5)oxadiazol-4-yl)-1-oxa-5-aza-cyclohexadecane-12,16-dione",MESH:C547066,,,MESH:D009327|MESH:D034261,D02.540.576.500.984/C547066|D03.383.129.462.580.400/C547066,D02.540.576.500.984|D03.383.129.462.580.400,"10,14-dihydroxy-TMVNOACD",
"10,14-dihydroxyaromadendrane",MESH:C525040,,,MESH:D012717,D02.455.849.765/C525040,D02.455.849.765,"10beta,14-dihydroxy-allo-aromadendrane",
"10,14-dimethyloctadec-1-ene",MESH:C000595989,,,MESH:D000475,D02.455.326.271/C000595989,D02.455.326.271,,
"10,14-hexadecadienal",MESH:C000597843,,,MESH:D000447,D02.047/C000597843,D02.047,,
"10, 15, 20-triphenyl-5-(4-hydroxy-3-(trimethylammonium)methyl)phenylporphyrin",MESH:C478045,,,MESH:D000644|MESH:D011166,D01.625.062.500/C478045|D02.092.877/C478045|D02.675.276/C478045|D03.383.129.578.840.500/C478045|D03.633.400.909.500/C478045|D04.345.783.500/C478045|D23.767.727/C478045,D01.625.062.500|D02.092.877|D02.675.276|D03.383.129.578.840.500|D03.633.400.909.500|D04.345.783.500|D23.767.727,TP-HTMA-MPP,
"10,15,20-tritolylporphyrin-5-(4-amidophenyl)-(5-(4-phenyl)-10,15,20-tritolylporphyrin)",MESH:C439830,,,MESH:D011166,D03.383.129.578.840.500/C439830|D03.633.400.909.500/C439830|D04.345.783.500/C439830|D23.767.727/C439830,D03.383.129.578.840.500|D03.633.400.909.500|D04.345.783.500|D23.767.727,TAPT dimer,
